ID;Faculty
Andreas Breiter;3
Andreas Hepp;9
Anna Forster;1
Armin Dekorsy;1
Benedikt Buchner;6
Carsten Lutz;3
Christian Freksa;3
Christof BÅskens;3
Frank Kirchner;3
Gabriel Zachmann;3
Johannes Schoning;3
John Bateman;10
Karin Wolf-Ostermann;11
Karsten D. Wolf;12
Kerstin Radde-Antweiler;9
Kerstin Schill;3
Manfred Fahle;9
Manfred Herrmann;11
Michael Beetz;3
Nicole Megow;3
Peter Maaa;3
Rainer Koschke;3
Rainer Malaka;3
Rolf Drechsler;3
Ron Kikinis;3
Sebastian Maneth;3
Stefanie Averbeck-Lietz;9
Steffen Paul;1
Tanja Schultz;3
Thomas Hoffmeister;2
Udo Frese;3
Walter Lang;1
