ID;Faculty
Andreas Breiter;3
Gralf-Peter Calliess;6
Ulrich Muckenberger;6
Jochen Zimmermann;7
Jutta Gunther;7
Sarianna Lundan;7
Alexander Gattig;8
Anna-Katharina Hornidge;8
Ansgar Weymann;8
Arndt Wonka;8
Betina Hollstein;8
Carina Schmitt;8
Frank Nullmeier;8
Heiko Pleines;8
Heinz Rothgang;11
Herbert Obinger;8
Irene Dingeldey;8
Jan Lorenz;8
Karin Gottschall;8
Kerstin Martens;8
Klaus Schlichte;8
Mandy Boehnke;8
Mandy Boehnke;8
Marco Verweij;8
Martin Nonhoff;8
Matthias Wingens;8
Michael Windzio;8
Olaf Groh-Samberg;8
Peter Mayer;8
Philip Manow;8
Sebastian Botzem;8
Sebastian Haunss;8
Simone Scherger;8
Sonja Drobnic;8
Steffen Bandlow-Raffalski;8
Susanne K. Schmidt;8
Ulrich Franke;8
Ulrike Liebert;8
Uwe Engel;8
Uwe Schimank;8
Werner Eichhorst;8
Margrit E. Kaufmann;9
